,iso2,nc_2,flow,sum_2016,sum_2017,sum_2018,sum_2019,sum_2020,sum_2021,name
175,AT,89,2,145346742.0,87858329.0,48703851.0,62880462.0,46423101.0,49810683.0,Austria
176,AT,90,1,3699252466.0,3884101358.0,4096093436.0,4356135260.0,4287706732.0,4921065112.0,Austria
177,AT,90,2,3710700166.0,3888998520.0,4186435693.0,4490916158.0,4225206237.0,4775180548.0,Austria
178,AT,91,1,488309296.0,464497165.0,374657216.0,349881216.0,293829968.0,327653689.0,Austria
179,AT,91,2,352811044.0,343122204.0,258371517.0,195104285.0,148334091.0,164684393.0,Austria
180,AT,92,1,101154473.0,99977258.0,88466596.0,111560497.0,91600947.0,124545927.0,Austria
181,AT,92,2,53754892.0,52804875.0,53405039.0,59344721.0,57023723.0,64748672.0,Austria
182,AT,93,1,94232979.0,106127672.0,118278045.0,140264336.0,127468955.0,141677475.0,Austria
183,AT,93,2,449016285.0,461429676.0,359197607.0,399580123.0,511396175.0,629430943.0,Austria
184,AT,94,1,3119506505.0,3205492792.0,3288299636.0,3495076171.0,3357705910.0,3873522261.0,Austria
185,AT,94,2,2183044499.0,2268531191.0,2326511066.0,2356033119.0,2222498876.0,2407164734.0,Austria
186,AT,95,1,1230752158.0,1330428478.0,1663032906.0,1361557813.0,1268137461.0,1515024256.0,Austria
187,AT,95,2,1134791555.0,1213198227.0,1391882400.0,1212439876.0,960266145.0,1074587086.0,Austria
188,AT,96,1,427697791.0,449714595.0,470691017.0,470935093.0,451156501.0,473306023.0,Austria
189,AT,96,2,216802134.0,225436499.0,238876318.0,220870261.0,210017746.0,240185936.0,Austria
190,AT,97,1,206192953.0,193176719.0,204241599.0,209595654.0,181913849.0,263847922.0,Austria
191,AT,97,2,290951159.0,162118609.0,192901375.0,156043544.0,156560169.0,167949327.0,Austria
192,AT,99,1,30222330.0,48861483.0,37093076.0,44073183.0,45742534.0,40418019.0,Austria
193,AT,99,2,17390371.0,6473186.0,16817350.0,17523802.0,16970203.0,19477323.0,Austria
194,AT,TO,1,142511948177.0,155576289210.0,164007599533.0,165008279125.0,150934698407.0,185263016488.0,Austria
195,AT,TO,2,137409879273.0,148756390257.0,156428829131.0,159588478070.0,148287998641.0,171460358373.0,Austria
196,BE,01,1,577925976.0,566915931.0,537746083.0,504935788.0,483369986.0,536787245.0,Belgium
197,BE,01,2,484354489.0,553184619.0,585382522.0,673209246.0,637883191.0,664662745.0,Belgium
198,BE,02,1,1359268406.0,1479022217.0,1554100212.0,1581957570.0,1549180159.0,1600574162.0,Belgium
199,BE,02,2,3171751552.0,3385621032.0,3228414369.0,3173606152.0,3049300208.0,3141684516.0,Belgium
200,BE,03,1,1531946809.0,1635479260.0,1532920363.0,1502182599.0,1421755776.0,1526869079.0,Belgium
201,BE,03,2,796405001.0,850673107.0,723430249.0,720702259.0,725950701.0,715495405.0,Belgium
202,BE,04,1,3095011832.0,3785998217.0,3834584857.0,3694010636.0,3532632727.0,3950175382.0,Belgium
203,BE,04,2,2952021083.0,3635247190.0,3753787137.0,3805177921.0,3724732562.0,3954945104.0,Belgium
204,BE,05,1,157012879.0,170774813.0,152888154.0,158804385.0,162016441.0,169331262.0,Belgium
205,BE,05,2,116958250.0,135660121.0,142821459.0,142679448.0,144585217.0,179155251.0,Belgium
206,BE,06,1,401428599.0,390002872.0,427917592.0,482656621.0,481312539.0,558355085.0,Belgium
207,BE,06,2,544825543.0,536369635.0,596587280.0,617790308.0,571942849.0,694175524.0,Belgium
208,BE,07,1,1904209406.0,1935540214.0,1865685517.0,2114602203.0,2003176405.0,2091544090.0,Belgium
209,BE,07,2,2212132498.0,2270472395.0,2140339706.0,2286337765.0,2266298520.0,2275303210.0,Belgium
210,BE,08,1,3255166900.0,3439888072.0,3292167009.0,3013682245.0,3223236846.0,3105151707.0,Belgium
